security_id,symbol
10910,GBPINR-JUL2025-108.75-PE
10911,GBPINR-JUL2025-109-CE
10912,JPYINR-JUL2025-59.5-CE
10913,GBPINR-JUL2025-109-PE
10914,GBPINR-JUL2025-109.25-CE
10915,GBPINR-JUL2025-109.25-PE
10916,GBPINR-JUL2025-109.5-CE
10917,GBPINR-JUL2025-109.5-PE
10918,GBPINR-JUL2025-109.75-CE
10919,JPYINR-JUL2025-59.5-PE
10920,JPYINR-JUL2025-59.75-CE
10921,JPYINR-JUL2025-59.75-PE
10922,JPYINR-JUL2025-60-CE
10923,GBPINR-JUL2025-109.75-PE
10924,GBPINR-JUL2025-110-CE
10925,JPYINR-JUL2025-60-PE
10926,JPYINR-JUL2025-60.25-CE
10928,JPYINR-JUL2025-60.25-PE
10929,JPYINR-JUL2025-60.5-CE
1093,EURUSD-SEP2025-0.97-CE
10930,JPYINR-JUL2025-60.5-PE
10931,JPYINR-JUL2025-60.75-CE
10934,JPYINR-AUG2025-60.25-PE
10935,JPYINR-AUG2025-60.5-CE
10936,EURUSD-AUG2025-1.055-CE
10937,EURUSD-AUG2025-1.055-PE
10938,JPYINR-AUG2025-60.5-PE
10939,JPYINR-AUG2025-60.75-CE
1094,EURINR-NOV2025-FUT
10940,JPYINR-JUL2025-60.75-PE
10941,JPYINR-JUL2025-61-CE
10943,JPYINR-AUG2025-60.75-PE
10944,JPYINR-AUG2025-61-CE
1095,EURUSD-SEP2025-0.97-PE
1096,EURUSD-JUL2025-1.26-PE
1097,EURUSD-NOV2025-FUT
10979,GBPINR-JUL2025-110-PE
1098,JPYINR-AUG2025-53.25-PE
10980,GBPINR-JUL2025-110.25-CE
10981,GBPINR-JUL2025-110.25-PE
10984,GBPINR-JUL2025-110.5-CE
10985,JPYINR-JUL2025-61-PE
10986,JPYINR-JUL2025-61.25-CE
10987,JPYINR-JUL2025-61.25-PE
1099,GBPINR-JUN2026-111.5-CE
10990,GBPINR-JUL2025-110.5-PE
1100,EURINR-JUL2025-FUT
1101,USDINR-AUG2025-84.875-CE
11011,JPYINR-JUL2025-61.5-CE
11012,JPYINR-JUL2025-61.5-PE
11013,JPYINR-JUL2025-61.75-CE
11014,JPYINR-JUL2025-61.75-PE
11019,GBPINR-JUL2025-110.75-CE
1102,JPYINR-DEC2025-60.5-CE
11020,GBPINR-JUL2025-110.75-PE
11021,GBPINR-JUL2025-111-CE
11022,GBPINR-JUL2025-111-PE
1103,USDINR-AUG2025-84.875-PE
